epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.3537,1.64044,5.92159,1.11072,0.0016,0.95833,0.00223,0.00152,0.85499,31.9705,0.79186,0.00022,0.00022,0.00022
2,50.5548,1.3792,4.70639,0.9683,0.00167,1,0.00272,0.00166,0.86286,32.5947,0.78268,0.00045241,0.00045241,0.00045241
3,73.3291,1.46087,5.59324,1.14337,0.00111,0.66667,0.00116,0.00052,0.8438,30.8674,0.83704,0.0006769,0.0006769,0.0006769
4,96.4636,1.34161,4.10803,1.06008,0.00149,0.89583,0.00956,0.00537,0.85712,28.0766,0.86451,0.00089347,0.00089347,0.00089347
5,119.517,1.31474,3.95365,1.13294,0.42901,0.70833,0.70484,0.47922,0.9035,26.3083,0.8808,0.00110212,0.00110212,0.00110212
6,142.568,1.43227,3.37161,1.12127,0.00163,0.97917,0.01837,0.01243,0.84019,34.4479,0.848,0.00130285,0.00130285,0.00130285
7,165.597,1.28366,3.01923,1.04227,1,0.48585,0.95661,0.60717,0.92335,24.1586,0.9003,0.00149566,0.00149566,0.00149566
8,188.745,1.26295,2.55301,1.07235,1,0.65173,0.94094,0.63162,0.91605,23.3068,0.89606,0.00168055,0.00168055,0.00168055
9,212.163,1.17605,2.77862,1.02298,0.97946,0.9937,0.99418,0.66828,0.94958,20.6854,0.88919,0.001736,0.001736,0.001736
10,235.153,1.342,3.5116,1.06443,1,0.99734,0.995,0.65199,0.93651,19.1577,0.89002,0.001703,0.001703,0.001703
11,258.449,1.14484,2.13343,1.02074,0.91602,0.97917,0.91664,0.62669,0.93778,16.8215,0.88027,0.00167,0.00167,0.00167
12,281.491,1.21488,2.65521,1.09078,0.9758,1,0.98827,0.6844,0.87853,16.0273,0.85928,0.001637,0.001637,0.001637
13,304.701,1.32605,3.27534,1.12126,0.97729,0.95833,0.9918,0.64728,0.95015,16.0123,0.93815,0.001604,0.001604,0.001604
14,327.416,1.27678,2.53754,1.14315,1,0.9478,0.9934,0.67362,0.92636,16.7707,0.90193,0.001571,0.001571,0.001571
15,350,1.25535,2.13665,1.05038,0.99507,1,0.995,0.66601,0.85768,15.1472,0.85837,0.001538,0.001538,0.001538
16,372.625,1.24158,2.16061,1.03066,1,0.99505,0.995,0.68157,0.87813,14.0503,0.86159,0.001505,0.001505,0.001505
17,395.409,1.21376,2.07228,1.03918,0.98341,0.91667,0.95165,0.688,0.85867,14.6043,0.85985,0.001472,0.001472,0.001472
18,418.339,1.21745,2.02551,0.98919,0.99261,0.91667,0.96779,0.70731,0.85244,15.5372,0.85256,0.001439,0.001439,0.001439
19,441.284,1.05928,2.06863,0.99049,0.99951,0.95833,0.99143,0.73903,0.79223,14.3851,0.84834,0.001406,0.001406,0.001406
20,464.002,1.09966,1.85862,1.06188,1,0.99882,0.995,0.71587,0.81869,14.3045,0.84297,0.001373,0.001373,0.001373
21,486.656,1.12794,1.79214,1.00519,0.99274,1,0.995,0.71435,0.82458,11.8583,0.84647,0.00134,0.00134,0.00134
22,509.379,1.26821,1.68001,1.01153,0.99651,1,0.995,0.71159,0.89703,11.2966,0.87233,0.001307,0.001307,0.001307
23,531.943,1.23963,1.62825,1.06737,0.9974,1,0.995,0.67198,0.9339,10.668,0.8971,0.001274,0.001274,0.001274
24,554.672,1.08112,1.5348,1.00478,0.97854,1,0.995,0.68483,0.92728,10.7892,0.8954,0.001241,0.001241,0.001241
25,577.289,1.0619,1.43097,1.00393,0.99838,1,0.995,0.71911,0.88288,10.7452,0.85814,0.001208,0.001208,0.001208
26,599.821,1.13307,1.55692,0.95984,0.9982,1,0.995,0.71604,0.88077,10.0461,0.86906,0.001175,0.001175,0.001175
27,622.861,1.11712,1.80361,1.05721,0.99833,1,0.995,0.68441,0.8764,9.2997,0.88048,0.001142,0.001142,0.001142
28,645.607,1.05057,1.2984,1.0204,0.99842,1,0.995,0.68112,0.79636,8.97659,0.84027,0.001109,0.001109,0.001109
29,668.023,1.07782,1.39181,0.99111,0.99814,1,0.995,0.71852,0.70677,8.37154,0.80225,0.001076,0.001076,0.001076
30,690.591,1.11302,1.23752,1.03394,0.99796,1,0.995,0.73724,0.70655,8.10906,0.80142,0.001043,0.001043,0.001043
31,713.363,1.00177,1.57636,0.96303,0.99825,1,0.995,0.76968,0.77617,8.12263,0.81852,0.00101,0.00101,0.00101
32,735.7,1.0937,1.50659,0.98265,0.99843,1,0.995,0.74757,0.8326,7.8872,0.83528,0.000977,0.000977,0.000977
33,758.706,1.10688,1.37754,1.04658,0.99809,1,0.995,0.73688,0.91721,7.48045,0.87624,0.000944,0.000944,0.000944
34,781.063,1.02366,1.33544,1.00177,0.99849,1,0.995,0.7344,0.96065,7.6095,0.90373,0.000911,0.000911,0.000911
35,803.79,1.22654,1.54671,1.09644,0.99725,1,0.995,0.72879,0.99681,7.77662,0.91573,0.000878,0.000878,0.000878
36,826.816,1.09114,1.25024,0.98075,0.99755,1,0.995,0.72949,0.99155,7.60026,0.9078,0.000845,0.000845,0.000845
37,849.647,1.11913,0.95077,0.97649,0.99843,1,0.995,0.73049,0.93974,7.1976,0.87464,0.000812,0.000812,0.000812
38,872.005,1.0216,1.18146,0.98729,0.99828,1,0.995,0.77258,0.84272,7.04968,0.84417,0.000779,0.000779,0.000779
39,894.335,0.92736,0.99522,0.93032,0.99828,1,0.995,0.78306,0.67966,6.80218,0.78715,0.000746,0.000746,0.000746
40,916.918,0.97645,1.02572,0.966,0.99835,1,0.995,0.76243,0.63321,6.60202,0.78424,0.000713,0.000713,0.000713
41,939.355,1.15013,1.16562,1.05178,0.9983,1,0.995,0.74823,0.64279,6.32273,0.78991,0.00068,0.00068,0.00068
42,961.907,1.05046,1.09898,0.9656,0.99828,1,0.995,0.772,0.64627,6.21988,0.7887,0.000647,0.000647,0.000647
43,985.056,0.93365,1.90084,0.87943,0.99826,1,0.995,0.78849,0.67959,5.97977,0.79415,0.000614,0.000614,0.000614
44,1007.89,0.99681,0.97358,0.94771,0.9983,1,0.995,0.77808,0.69797,5.76711,0.79745,0.000581,0.000581,0.000581
