epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.2105,2.6459,13.9875,1.568,0.00022,0.11667,0.00013,3e-05,1.64524,26.6977,1.06955,0.00026,0.00026,0.00026
2,78.6366,2.0579,9.37337,1.19608,0.00136,0.73333,0.00192,0.00091,1.30775,25.7828,0.88814,0.00053109,0.00053109,0.00053109
3,114.114,1.97283,8.49763,1.1214,0.00182,0.98333,0.00303,0.00125,1.1266,23.7395,0.8599,0.00079294,0.00079294,0.00079294
4,146.927,1.70853,5.3328,1.05359,0.00185,1,0.00363,0.00181,1.33471,21.3466,0.909,0.00104555,0.00104555,0.00104555
5,177.291,1.85226,8.23447,1.1237,0.0012,0.65,0.00113,0.00054,1.15436,44.0494,0.86823,0.00128892,0.00128892,0.00128892
6,209.511,1.52481,5.31924,1.01417,0.03009,0.31667,0.05622,0.02888,1.53872,33.2441,0.96376,0.00152305,0.00152305,0.00152305
7,243.39,1.69726,5.12022,1.05753,0.00372,0.55,0.01872,0.01191,1.24579,103.47,0.87715,0.00174794,0.00174794,0.00174794
8,278.267,1.51919,3.72983,1.02834,0.11444,0.73333,0.14377,0.09254,1.05861,21.4234,0.85901,0.001769,0.001769,0.001769
9,313.503,1.54259,5.26019,0.95015,1,0.58076,0.71698,0.464,0.98198,15.0347,0.82538,0.001736,0.001736,0.001736
10,348.514,1.45544,4.53631,0.91833,0.98863,0.96667,0.99434,0.59566,1.07924,12.5512,0.84424,0.001703,0.001703,0.001703
11,383.435,1.42008,3.04237,0.99439,0.97781,0.96667,0.98933,0.66057,1.06036,12.4195,0.83767,0.00167,0.00167,0.00167
12,417.881,1.39927,2.55487,0.97845,0.99799,1,0.995,0.67383,1.0538,11.9579,0.82098,0.001637,0.001637,0.001637
13,451.946,1.33569,2.90338,0.97571,0.9986,1,0.995,0.69822,0.97555,10.9336,0.80292,0.001604,0.001604,0.001604
14,486.56,1.39621,2.72722,1.00208,0.96769,0.99851,0.98994,0.71728,0.89388,10.2048,0.78113,0.001571,0.001571,0.001571
15,519.711,1.354,2.32417,0.94851,0.98086,0.96667,0.99279,0.65021,0.96705,9.70032,0.80673,0.001538,0.001538,0.001538
16,552.858,1.33663,2.48396,0.98889,0.99919,1,0.995,0.66306,0.96665,9.49244,0.80372,0.001505,0.001505,0.001505
17,587.009,1.29887,2.24022,0.96708,0.99622,1,0.995,0.6307,1.12837,9.26332,0.83756,0.001472,0.001472,0.001472
18,620.499,1.34579,1.95042,0.97597,0.98129,0.61667,0.75623,0.51477,1.08099,13.0964,0.80676,0.001439,0.001439,0.001439
19,653.88,1.33435,2.14163,0.94803,1,0.97192,0.98895,0.66889,1.07392,9.40793,0.80853,0.001406,0.001406,0.001406
20,684.599,1.29879,2.17527,0.98637,1,0.92513,0.96507,0.69156,0.98118,8.72518,0.79094,0.001373,0.001373,0.001373
21,715.005,1.37383,1.89358,0.94582,0.99668,0.86667,0.88606,0.63753,0.92571,8.21316,0.78285,0.00134,0.00134,0.00134
22,746.317,1.32854,2.10238,0.96248,1,0.77235,0.80591,0.54553,1.06489,7.99636,0.81046,0.001307,0.001307,0.001307
23,776.757,1.16518,1.78117,0.93786,1,0.92696,0.97993,0.68002,0.95239,7.99686,0.78272,0.001274,0.001274,0.001274
24,807.521,1.318,1.95822,0.95716,0.99768,1,0.995,0.73026,0.83511,6.97525,0.76608,0.001241,0.001241,0.001241
25,838.055,1.22465,2.22145,0.96168,0.99794,1,0.995,0.73827,0.87746,6.30829,0.77003,0.001208,0.001208,0.001208
26,868.889,1.14682,2.00417,0.9323,0.99845,1,0.995,0.72952,0.92575,5.98621,0.77808,0.001175,0.001175,0.001175
27,899.972,1.33635,1.61821,0.94957,0.99863,1,0.995,0.71334,0.87511,5.86061,0.77051,0.001142,0.001142,0.001142
28,931.617,1.13982,1.55542,0.93509,0.99982,1,0.995,0.72973,0.78186,5.58637,0.76429,0.001109,0.001109,0.001109
29,964.746,1.24227,1.57773,0.93768,0.99796,1,0.995,0.73737,0.87663,5.29182,0.77217,0.001076,0.001076,0.001076
30,997.519,1.17284,1.4599,0.9164,0.99826,1,0.995,0.72398,0.82964,5.37141,0.76791,0.001043,0.001043,0.001043
31,1030.98,1.14895,1.33178,0.94017,0.99832,1,0.995,0.7317,0.82599,5.3881,0.76896,0.00101,0.00101,0.00101
32,1063.31,1.02637,1.30243,0.90522,0.99892,1,0.995,0.76439,0.80338,5.12552,0.75933,0.000977,0.000977,0.000977
33,1096.49,1.11925,1.15543,0.92094,0.99891,1,0.995,0.74454,0.76767,4.85481,0.75232,0.000944,0.000944,0.000944
34,1129.4,1.07342,1.40013,0.90041,0.99744,1,0.995,0.74106,0.75951,4.72035,0.75767,0.000911,0.000911,0.000911
35,1162.3,1.0894,1.34475,0.90305,0.99677,1,0.995,0.74429,0.76386,4.72216,0.75874,0.000878,0.000878,0.000878
36,1195.88,1.19011,1.17933,0.93274,0.99804,1,0.995,0.7674,0.76167,4.5677,0.75237,0.000845,0.000845,0.000845
37,1228.88,1.14435,1.2447,0.90769,0.99867,1,0.995,0.76389,0.74044,4.39416,0.74413,0.000812,0.000812,0.000812
38,1262.41,1.1277,1.60614,0.87972,0.99887,1,0.995,0.73396,0.79439,4.3518,0.75937,0.000779,0.000779,0.000779
39,1295.49,0.99134,1.34994,0.85338,0.99891,1,0.995,0.73285,0.75644,4.26256,0.75382,0.000746,0.000746,0.000746
40,1328.7,1.0736,1.27869,0.90261,0.99891,1,0.995,0.74945,0.77694,4.14477,0.75286,0.000713,0.000713,0.000713
41,1361.58,0.96996,1.00806,0.88062,0.99883,1,0.995,0.74203,0.84933,4.03371,0.75522,0.00068,0.00068,0.00068
42,1395.08,0.89473,1.57417,0.83295,0.99887,1,0.995,0.77463,0.7259,4.06806,0.73104,0.000647,0.000647,0.000647
43,1428.38,0.996,1.05905,0.85936,0.9989,1,0.995,0.78897,0.70002,4.01356,0.72864,0.000614,0.000614,0.000614
44,1461.48,0.99526,0.98661,0.87732,0.9989,1,0.995,0.7863,0.70223,3.89123,0.73154,0.000581,0.000581,0.000581
45,1494.53,0.99319,0.94567,0.85977,0.99888,1,0.995,0.77522,0.72795,3.75831,0.73914,0.000548,0.000548,0.000548
46,1527.31,0.9515,1.06193,0.88075,0.99882,1,0.995,0.72722,0.86321,3.64168,0.75875,0.000515,0.000515,0.000515
47,1561.82,0.92814,0.92123,0.87095,0.99876,1,0.995,0.73637,0.88664,3.62422,0.76373,0.000482,0.000482,0.000482
48,1596.28,0.95074,0.94365,0.91041,0.99866,1,0.995,0.73413,0.82654,3.59458,0.75477,0.000449,0.000449,0.000449
49,1629.14,0.90335,0.97061,0.86372,0.99871,1,0.995,0.76589,0.70595,3.51828,0.73777,0.000416,0.000416,0.000416
50,1662.72,0.97585,1.15793,0.88458,0.99882,1,0.995,0.77065,0.67034,3.43688,0.7289,0.000383,0.000383,0.000383
51,1695.61,0.85099,2.27181,0.74828,0.99884,1,0.995,0.77696,0.67642,3.42004,0.72853,0.00035,0.00035,0.00035
52,1728.45,0.99078,2.14826,0.82797,0.99877,1,0.995,0.77613,0.70801,3.35522,0.73007,0.000317,0.000317,0.000317
53,1761.46,1.03632,1.9563,0.90195,0.99862,1,0.995,0.77194,0.72913,3.35223,0.73531,0.000284,0.000284,0.000284
54,1795.32,0.90346,1.91902,0.76283,0.99859,1,0.995,0.77175,0.73278,3.38857,0.73982,0.000251,0.000251,0.000251
55,1828.9,0.97178,1.84478,0.86782,0.99865,1,0.995,0.77715,0.73042,3.41159,0.74146,0.000218,0.000218,0.000218
56,1862.45,0.86382,1.82739,0.77075,0.99876,1,0.995,0.77501,0.72545,3.39021,0.74312,0.000185,0.000185,0.000185
57,1895.29,0.81466,2.08847,0.78386,0.99881,1,0.995,0.78168,0.70794,3.36498,0.74086,0.000152,0.000152,0.000152
58,1928.9,0.9371,2.40615,0.78755,0.99885,1,0.995,0.78136,0.68849,3.31764,0.73705,0.000119,0.000119,0.000119
59,1961.69,0.60969,2.55011,0.7308,0.99887,1,0.995,0.77995,0.68045,3.2925,0.73553,8.6e-05,8.6e-05,8.6e-05
60,1994.39,0.78587,1.80187,0.79362,0.99888,1,0.995,0.78306,0.67291,3.25779,0.73392,5.3e-05,5.3e-05,5.3e-05
